,ID,ROOM NAME,LOCALITY,REGION,OLD PRICE,ratings
0,153,MedRooms Premium 069 Patel Nagar,Metro Pillar No. 162,Delhi,4499.0,5
1,313,MedRooms  258 Karol Bagh Metro Station 4,Karol Bagh,Delhi,1399.0,5
2,121,MedRooms  676 Safdarjung Enclave 2,"B Block, Safdurjung Enclave",Delhi,3449.0,5
3,227,MedRooms Homes 508 G Block Saket,Saket,Delhi,1449.0,5
4,208,MedRooms  108 Near Karol Bagh Metro Station 1,Karol Bagh,Delhi,1199.0,5
5,230,MedRooms Homes 318 Kalkaji E Block,Kalkaji,Delhi,2099.0,5
6,233,MedRooms Apartments 202 Saket Extension,"Near Malkhan Singh Marg, Street no.16",Delhi,1199.0,5
7,205,MedRooms Premium 137 Dwarka Sector 12,Dwarka,Delhi,3749.0,5
8,54,MedRooms  484 IGI Airport Hotel,NH8,Delhi,2599.0,5
9,142,MedRooms  506 GK 1 Market,Greater Kailash 1,Delhi,5099.0,5
10,22,MedRooms  457 Azadpur Mandi Extension,Adarsh Nagar,Delhi,2499.0,5
11,310,MedRooms Premium 155 Safdarjung,Green Park Main,Delhi,3699.0,5
12,170,MedRooms  585 Near Sector 10 Metro Dwarka,"Sector 10 Dwarka, In front of metro station",Delhi,3599.0,5
13,28,MedRooms  144 CR Park,Outer Ring Road,Delhi,2899.0,5
14,305,MedRooms  385 Karol Bagh 12A/24,"Saraswati Marg, West Extension Area, Karol Bagh",Delhi,1799.0,5
15,39,MedRooms  329 8575 Arakashan Road,Arakashan Road,Delhi,1999.0,5
16,239,MedRooms Premium 189 GK 1 R Block,Greater Kailash Part - 1,Delhi,3949.0,5
17,40,MedRooms  491 Mahipalpur NH8,"National Highway, NH8",Delhi,2249.0,5
18,25,MedRooms Homes 380 GTB Nagar,Kingsaway,Delhi,2499.0,5
19,21,MedRooms  118 Vasant Vihar,Vasant vihar,Delhi,3549.0,5
20,41,MedRooms  194 Next To IGI Airport Corporate Special,"Kapashera Extension, Bijwasan Road",Delhi,2499.0,5
21,43,MedRooms  212 Hauz Khas,Panchsheel Park South,Delhi,1899.0,5
22,34,MedRooms  613 Kirti Nagar-B&B,Kirti Nagar,Delhi,2049.0,5
23,11,MedRooms  689 Indira Gandhi International Airport,"Road No 1, Mahipalpur",Delhi,1664.0,5
24,167,MedRooms Elite 557 Panchsheel Enclave,Panchshila Park,Delhi,5649.0,5
25,328,MedRooms  222 Karol Bagh Metro Station 3,Karol Bagh,Delhi,1949.0,5
26,186,MedRooms Premium 129 Dwarka Sector 7,Dwarka,Delhi,3799.0,5
27,14,MedRooms Premium 160 Saket Metro Station,Saket,Delhi,4299.0,5
28,8,MedRooms  696 NH8 Mahipalpur,"Road 1, Mahipalpur",Delhi,1664.0,5
29,6,MedRooms Premium 210 Lodhi Road,Sunder Nagar,Delhi,6099.0,5
30,210,MedRooms Premium 239 Near Rajendra Nagar Metro Station,New Rajinder Nagar,Delhi,3349.0,5
31,297,MedRooms  293 Jhandewalan Metro Station 3,Karol Bagh,Delhi,1349.0,5
32,125,MedRooms  547 Paschim Vihar 2,"Paschim Enclave, Nh-10",Delhi,2999.0,5
33,278,MedRooms  090 CR Park Outer Ring Road,CR Park,Delhi,1899.0,5
34,51,MedRooms Premium 052 Jasola Apollo,Kalindi Kunj Road,Delhi,3249.0,5
35,98,MedRooms  266 7A/36 Channa Market Karol Bagh,Karol Bagh,Delhi,1699.0,5
36,96,MedRooms  596 Main Bazaar Paharganj Gali No 1,"Main Bazar, 6 Tooti Chowk",Delhi,1299.0,5
37,135,MedRooms Homes 330 New Friends Colony,Friends Colony East,Delhi,3999.0,5
38,260,MedRooms Homes 558 Chattarpur Near Tivoli,"Next To Primary School, Satbari Chattarpur",Delhi,2149.0,5
39,91,MedRooms  268 Gali Hari Mandir Paharganj,Paharganj,Delhi,1249.0,5
40,90,MedRooms  396 Nirman Vihar Metro,Near Nirman Vihar Metro Station,Delhi,2449.0,5
41,87,MedRooms  297 PVR Saket,Saket,Delhi,3449.0,5
42,200,MedRooms  174 New Delhi Railway Station 2,Ram Nagar,Delhi,1799.0,5
43,199,MedRooms  078 Ring Road GK1,Near Nehru Place,Delhi,4199.0,5
44,154,MedRooms  524 International Airport Delhi,"A Block, N.H.8, Mahipalpur New",Delhi,3199.0,5
45,195,MedRooms  026 Karol Bagh,Karol Bagh,Delhi,2049.0,5
46,72,MedRooms  105 Paharganj DB Gupta Road 2,Paharganj,Delhi,1449.0,5
47,156,MedRooms Premium 405 GK1 Near M Block Market,Greater Kailash -1,Delhi,4499.0,5
48,258,MedRooms  461 Kalkaji F Block,Kalkji Main Road,Delhi,2799.0,5
49,69,MedRooms  671 Dabri Palam Road,Main Mahiveer Enclave in front of Sulabh International Dabri Palam Road,Delhi,1849.0,5
